選區,參選人,網址,FB_ID,讚數,藍勾勾,建立日期,管理員國家,改名次數
臺中市第五選舉區,段體佩,https://www.facebook.com/%E5%B0%8F%E5%B8%82%E6%B0%91%E6%AE%B5%E9%AB%94%E4%BD%A9-445714529506872/,445714529506872,220,not_verified,2019-04-12,"Taiwan (1)",1
臺中市第六選舉區,李中,https://www.facebook.com/iloveleechang/,134699156554812,7721,blue_verified,2010-07-01,"Taiwan (6)",0
臺中市第六選舉區,黃國書,https://www.facebook.com/%E9%BB%83%E5%9C%8B%E6%9B%B8-566381323386617/,566381323386617,45791,blue_verified,2013-02-26,"Taiwan (8)",0
臺中市第六選舉區,梁雅羿,https://www.facebook.com/Yayiitaiwan/,275527486729116,505,not_verified,2019-04-13,,1
臺中市第七選舉區,莊子富,https://www.facebook.com/FM1007Nico/,307173240000158,11710,not_verified,2019-03-06,"Taiwan (8)",0
臺中市第七選舉區,何欣純,https://www.facebook.com/94achun/,420900021820330,16948,not_verified,2019-03-27,"Taiwan (4)",0
臺中市第七選舉區,林培基,https://www.facebook.com/%E6%9E%97%E5%9F%B9%E5%9F%BA-%E5%A4%A7%E9%87%8C%E5%A4%AA%E5%B9%B3%E7%AB%8B%E5%A7%94%E5%80%99%E9%81%B8%E4%BA%BA-104129587671728/,104129587671728,2,not_verified,2019-10-12,,0
臺中市第八選舉區,江啟臣,https://www.facebook.com/johnnyccchiang/,191690867518507,211911,blue_verified,2011-02-21,"Taiwan (17)",2
臺中市第八選舉區,翁美春,https://www.facebook.com/IamMeiChun/,173854632674269,5827,blue_verified,2011-06-15,"Taiwan (10)",1
臺南市第一選舉區,蔡育輝,https://www.facebook.com/yuhui877/,905634552843396,5144,not_verified,2015-08-14,"Taiwan (8)",0
臺南市第一選舉區,賴惠員,https://www.facebook.com/liahuiyuan/,132727540081371,19060,blue_verified,2010-06-26,"Taiwan (5)",0
臺南市第一選舉區,顏耀星,https://www.facebook.com/SuperStarYen/,100759448026146,604,not_verified,2019-10-21,,0
臺南市第一選舉區,顏純左,https://www.facebook.com/yctfans/,305535559625580,71968,blue_verified,2014-08-11,"Taiwan (7)",0
臺南市第一選舉區,蔡承攸,https://www.facebook.com/Goingchi/,101316551257599,93,not_verified,2019-09-06,,0
臺南市第二選舉區,李武龍,https://www.facebook.com/liwulong.2020/,654895755026475,11580,blue_verified,2019-07-17,"Taiwan (9)",0
臺南市第二選舉區,郭國文,https://www.facebook.com/gogowin2010/,325269090863652,31085,blue_verified,2012-03-23,"Taiwan (5)",0
臺南市第三選舉區,陳亭妃,https://www.facebook.com/fififans/,111224078898553,99271,blue_verified,2010-04-07,"Taiwan (9)",1
臺南市第三選舉區,吳木,https://www.facebook.com/wumusinger/,1499013183717483,524,not_verified,2014-10-24,,0
臺南市第四選舉區,林燕祝,https://www.facebook.com/misslin.tainan/,246303725422981,17415,not_verified,2011-11-15,"Taiwan (8)",1
臺南市第四選舉區,林宜瑾,https://www.facebook.com/ichin0825/,147484398657964,30132,blue_verified,2011-05-23,"Taiwan (7)",0
臺南市第四選舉區,林志文,https://www.facebook.com/magic0320/,1007615766022901,2377,not_verified,2016-07-23,,3
臺南市第四選舉區,蔡明峰,https://www.facebook.com/Tsaimingfengfans/,1718353844877558,695,not_verified,2018-04-24,,1
臺南市第五選舉區,蔡淑惠,https://www.facebook.com/TainanCityCouncilMember.Services/,1342400169240057,3075,not_verified,2018-03-02,"Taiwan (6)",1
臺南市第五選舉區,林俊憲,https://www.facebook.com/seeklin/,207587482608523,56310,blue_verified,2011-05-06,"Taiwan (9)",0
臺南市第五選舉區,李伯利,https://www.facebook.com/tainanlipoli/,115255733188288,2025,not_verified,2019-09-09,"Taiwan (6)",1
臺南市第五選舉區,陳致曉,https://www.facebook.com/%E9%99%B3%E8%87%B4%E6%9B%89-%E9%A1%98%E5%90%8C%E5%BC%B1%E5%B0%91%E9%AC%A5%E5%BC%B7%E6%AC%8A-%E5%8F%B0%E5%8D%97%E5%B8%82%E7%AB%8B%E5%A7%94%E5%8F%83%E9%81%B8%E4%BA%BA-102790324425631/,102790324425631,2862,not_verified,2019-08-20,"Taiwan (6)",1
臺南市第六選舉區,洪秀柱,https://www.facebook.com/ChuChuPepper/,796255990463702,396056,blue_verified,2015-04-04,"Taiwan (6)",0
臺南市第六選舉區,王定宇,https://www.facebook.com/wdy19690305/,143944236949,248803,blue_verified,2009-09-28,"Taiwan (15)",0
臺南市第六選舉區,李晉豪,https://www.facebook.com/%E5%AE%89%E5%AE%9A%E5%8A%9B%E9%87%8F%E6%9D%8E%E6%99%89%E8%B1%AA%E5%8F%B0%E5%8D%97%E5%B8%82%E7%AB%8B%E5%A7%94%E7%AC%AC%E5%85%AD%E9%81%B8%E5%8D%80%E5%8F%83%E9%81%B8%E4%BA%BA-104221457604951/,104221457604951,654,not_verified,2019-08-12,"Taiwan (6)",0
高雄市第一選舉區,王齡嬌,https://www.facebook.com/%E7%8E%8B%E9%BD%A1%E5%AC%8C%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E5%8F%83%E9%81%B8%E4%BA%BA-1404177053057784/,1404177053057784,2037,not_verified,2019-06-16,"Taiwan (3)",1
高雄市第一選舉區,邱議瑩,https://www.facebook.com/denjen2020/,179828222070223,50788,blue_verified,2011-06-09,"Taiwan (14)",0
高雄市第一選舉區,羅鼎城,https://www.facebook.com/LoTingCheng/,110833397003012,614,blue_verified,2019-10-20,,0
高雄市第一選舉區,黃綉晶,https://www.facebook.com/%E5%B9%B8%E7%A6%8F%E5%B1%B1%E5%9F%8E-%E7%B9%81%E6%A6%AE%E5%85%B1%E5%A5%BD-%E9%BB%83%E7%B6%89%E6%99%B6-1275603662602751/,1275603662602751,999,not_verified,2019-04-04,"Taiwan (6)",3
高雄市第二選舉區,黃韻涵,https://www.facebook.com/huangyunhan73/,1459300751058884,16328,not_verified,2015-07-18,"Taiwan (12)",2
嘉義市選舉區,凌子楚,https://www.facebook.com/grantling0919/,2138046729783408,6526,not_verified,2018-08-16,"Taiwan (5)",1
臺東縣選舉區,陳允萍,https://www.facebook.com/taitungpeterchen/,509755682843809,2182,blue_verified,2018-11-25,"Taiwan (2)",1
山地原住民選舉區,孔文吉,https://www.facebook.com/%E5%AD%94%E6%96%87%E5%90%89-134086613358799/,134086613358799,3482,blue_verified,2011-10-11,,0
山地原住民選舉區,高金素梅,https://www.facebook.com/giwas888/,276861822357066,173012,blue_verified,2011-11-22,"Taiwan (7)",0
臺北市第七選舉區,許淑華,https://www.facebook.com/shua0522/,116296548384351,38062,blue_verified,2010-04-08,"Taiwan (11)",2
高雄市第二選舉區,邱志偉,https://www.facebook.com/%E9%82%B1%E5%BF%97%E5%81%89-1588286501409955/,1588286501409955,52791,blue_verified,2015-04-01,"Taiwan (3)",0
高雄市第三選舉區,黃昭順,https://www.facebook.com/KHshun/,140528019319690,29432,blue_verified,2010-11-25,"Taiwan (7)",1
